YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,PRECTOTCORR_next,TS_next,RH2M_next,PS_next,WS1OM_next,WD1OM_next
1982,1,1,4.94,76.69,0.0,7.79,3.95,5.87,8.51,2.67,9.17,6.51,102.22,4.21,6.25,2.66,3.59,152.75,4.88,7.66,2.73,4.94,155.25,0.0,8.94,88.19,101.83,7.06,198.25
1982,1,2,6.23,88.19,0.0,9.08,7.21,8.14,8.94,2.46,10.58,8.12,101.83,7.06,8.38,6.05,2.34,198.25,8.8,9.86,7.42,2.44,199.06,0.05,8.63,86.75,101.08,7.29,197.88
1982,1,3,6.16,86.75,0.05,8.99,6.8,7.89,8.63,2.31,10.05,7.73,101.08,7.29,8.38,5.96,2.41,197.88,9.12,10.81,6.8,4.02,198.69,0.12,8.19,86.81,101.5,8.71,237.0
1982,1,4,5.86,86.81,0.12,8.33,6.26,7.29,8.19,3.16,9.37,6.19,101.5,8.71,12.55,3.61,8.94,237.0,10.84,14.81,5.88,8.93,237.44,0.21,8.58,86.5,102.01,6.16,153.94
1982,1,5,5.92,86.5,0.21,8.49,6.36,7.42,8.58,3.83,9.99,6.16,102.01,6.16,8.52,3.02,5.5,153.94,7.47,10.26,3.42,6.84,154.69,0.44,8.67,88.62,101.41,6.78,290.06
1982,1,6,5.8,88.62,0.44,7.88,6.09,6.98,8.67,2.21,9.05,6.84,101.41,6.78,9.32,3.91,5.41,290.06,7.98,10.86,4.63,6.22,290.62,0.51,8.56,89.69,101.21,6.79,177.88
1982,1,7,5.92,89.69,0.51,7.94,6.35,7.15,8.56,2.77,9.27,6.51,101.21,6.79,10.93,0.39,10.53,177.88,7.81,12.68,0.45,12.23,179.06,0.16,8.96,76.69,100.22,10.77,243.31
1982,1,8,5.55,76.69,0.16,9.34,5.33,7.33,8.96,8.7,13.5,4.8,100.22,10.77,14.61,7.26,7.35,243.31,13.2,16.87,10.43,6.44,244.31,9.11,7.58,81.5,101.29,7.66,157.56
1982,1,9,4.21,81.5,9.11,4.44,1.58,3.01,7.58,1.54,5.27,3.73,101.29,7.66,13.16,1.85,11.31,157.56,8.65,15.02,2.04,12.98,158.25,0.1,7.44,74.75,102.09,5.86,261.25
1982,1,10,3.78,74.75,0.1,4.3,0.11,2.2,7.44,2.12,5.4,3.27,102.09,5.86,9.34,0.09,9.24,261.25,6.9,11.29,0.25,11.04,262.94,0.4,7.93,70.06,101.64,12.35,274.88
1982,1,11,3.97,70.06,0.4,5.76,0.61,3.19,7.93,6.68,10.64,3.96,101.64,12.35,17.87,7.11,10.76,274.88,14.46,21.12,9.08,12.04,275.88,0.23,7.79,75.44,102.66,7.49,187.5
1982,1,12,4.21,75.44,0.23,5.61,1.59,3.6,7.79,4.34,7.99,3.65,102.66,7.49,14.11,1.97,12.14,187.5,8.72,16.53,1.95,14.58,188.56,0.34,8.35,80.69,101.52,9.36,222.88
1982,1,13,5.13,80.69,0.34,7.57,4.35,5.96,8.35,3.27,9.16,5.9,101.52,9.36,15.12,5.84,9.27,222.88,10.88,17.63,7.17,10.45,223.75,3.75,7.05,74.06,102.82,14.35,172.56
1982,1,14,3.48,74.06,3.75,3.17,-0.99,1.08,7.05,2.95,5.38,2.44,102.82,14.35,20.12,7.38,12.75,172.56,16.62,23.55,8.48,15.06,172.81,5.91,5.94,76.38,103.37,3.93,120.0
1982,1,15,3.23,76.38,5.91,1.81,-1.87,-0.02,5.94,1.54,2.58,1.05,103.37,3.93,7.02,1.48,5.52,120.0,4.52,8.09,1.6,6.48,120.69,1.13,5.82,69.19,102.33,5.12,229.88
1982,1,16,3.23,69.19,1.13,3.15,-2.01,0.58,5.82,5.09,5.78,0.69,102.33,5.12,7.84,2.66,5.18,229.88,5.94,9.44,2.98,6.45,231.56,3.81,6.12,75.56,102.18,7.92,184.69
1982,1,17,3.78,75.56,3.81,4.19,0.22,2.2,6.12,2.4,5.8,3.39,102.18,7.92,12.63,0.96,11.67,184.69,9.23,14.84,1.14,13.7,185.75,2.75,5.46,75.12,103.3,9.66,345.44
1982,1,18,3.36,75.12,2.75,2.72,-1.22,0.75,5.46,1.78,3.47,1.69,103.3,9.66,12.2,6.58,5.62,345.44,11.3,14.52,7.91,6.62,345.12,0.3,5.03,78.06,103.46,3.22,97.62
1982,1,19,3.23,78.06,0.3,1.75,-1.63,0.06,5.03,0.84,2.1,1.26,103.46,3.22,6.91,0.41,6.49,97.62,3.71,8.39,0.23,8.16,99.06,1.13,4.98,78.56,103.64,9.71,122.31
1982,1,20,3.23,78.56,1.13,1.46,-1.81,-0.17,4.98,2.07,2.58,0.51,103.64,9.71,10.83,7.55,3.27,122.31,11.19,12.6,8.78,3.82,121.94,0.52,5.02,75.44,103.57,4.32,116.31
1982,1,21,2.99,75.44,0.52,1.12,-2.69,-0.78,5.02,1.95,2.15,0.2,103.57,4.32,6.83,1.59,5.25,116.31,4.96,8.03,1.48,6.55,117.38,0.15,6.02,85.12,102.76,5.7,183.38
1982,1,22,4.27,85.12,0.15,4.21,1.93,3.07,6.02,3.45,5.6,2.15,102.76,5.7,6.92,4.05,2.87,183.38,6.7,7.84,4.73,3.11,184.12,0.02,6.08,83.44,102.72,2.07,191.75
1982,1,23,3.97,83.44,0.02,3.48,0.9,2.19,6.08,2.2,4.55,2.33,102.72,2.07,3.73,0.2,3.53,191.75,2.3,4.31,0.18,4.13,192.69,0.0,5.9,80.06,102.74,3.02,184.31
1982,1,24,3.91,80.06,0.0,3.84,0.69,2.26,5.9,1.6,4.72,3.12,102.74,3.02,4.72,0.59,4.12,184.31,3.4,5.52,0.62,4.91,184.06,0.13,6.04,86.44,102.38,4.55,183.38
1982,1,25,4.76,86.44,0.13,5.41,3.33,4.37,6.04,4.08,7.23,3.16,102.38,4.55,5.41,2.9,2.51,183.38,5.4,6.31,3.49,2.82,183.94,0.08,6.03,85.06,102.17,3.41,185.12
1982,1,26,4.7,85.06,0.08,5.52,3.2,4.37,6.03,2.2,6.64,4.44,102.17,3.41,4.21,2.12,2.09,185.12,3.89,4.59,2.35,2.25,185.44,0.23,5.88,84.12,102.28,2.12,201.31
1982,1,27,4.39,84.12,0.23,4.8,2.34,3.58,5.88,2.34,6.12,3.78,102.28,2.12,3.53,0.98,2.56,201.31,2.33,4.01,1.12,2.88,202.94,4.85,6.37,82.38,101.78,4.25,117.06
1982,1,28,4.82,82.38,4.85,6.32,3.53,4.93,6.37,3.04,7.67,4.63,101.78,4.25,5.3,2.61,2.7,117.06,5.2,6.34,3.0,3.34,117.5,1.75,6.01,74.12,101.88,4.05,70.62
1982,1,29,4.03,74.12,1.75,5.32,1.08,3.19,6.01,3.44,6.35,2.91,101.88,4.05,5.99,2.51,3.48,70.62,4.76,7.44,2.77,4.66,70.56,0.91,6.12,80.31,102.04,4.71,155.56
1982,1,30,4.46,80.31,0.91,5.55,2.43,3.99,6.12,4.48,7.32,2.83,102.04,4.71,7.47,2.59,4.88,155.56,5.67,9.13,2.88,6.26,156.62,0.53,6.79,86.56,101.08,6.68,159.44
1982,1,31,5.37,86.56,0.53,7.12,5.01,6.06,6.79,1.95,8.09,6.15,101.08,6.68,8.8,2.69,6.1,159.44,8.38,10.55,3.23,7.32,160.06,0.05,6.41,90.69,100.95,3.62,133.75
1982,2,1,5.07,90.69,0.05,5.55,4.15,4.85,6.41,2.38,6.73,4.35,100.95,3.62,5.88,0.73,5.15,133.75,4.16,6.44,0.77,5.66,134.56,0.04,5.9,86.44,101.53,2.23,89.62
1982,2,2,4.52,86.44,0.04,4.65,2.58,3.62,5.9,1.72,5.53,3.81,101.53,2.23,2.87,1.69,1.19,89.62,2.43,3.23,1.67,1.57,90.5,0.36,6.58,95.75,101.15,4.37,118.06
1982,2,3,5.86,95.75,0.36,6.8,6.19,6.5,6.58,3.14,8.28,5.14,101.15,4.37,6.15,2.62,3.53,118.06,5.94,8.04,3.0,5.04,119.06,4.92,6.01,88.62,101.05,10.86,295.94
1982,2,4,4.46,88.62,4.92,3.83,2.13,2.98,6.01,5.85,6.96,1.11,101.05,10.86,14.52,3.83,10.7,295.94,12.38,16.73,5.69,11.05,296.56,0.44,5.14,77.38,101.85,13.17,346.75
1982,2,5,3.11,77.38,0.44,0.94,-2.53,-0.8,5.14,1.95,2.09,0.14,101.85,13.17,15.68,7.27,8.41,346.75,15.23,18.3,8.72,9.58,346.62,0.26,5.31,76.12,102.16,4.97,252.0
1982,2,6,3.48,76.12,0.26,2.96,-0.87,1.05,5.31,5.7,6.35,0.65,102.16,4.97,7.04,2.09,4.95,252.0,5.71,7.96,2.27,5.69,252.12,0.09,5.46,73.44,102.15,3.91,215.12
1982,2,7,3.72,73.44,0.09,4.4,-0.02,2.19,5.46,5.55,7.25,1.69,102.15,3.91,6.01,1.27,4.73,215.12,4.7,7.2,1.64,5.56,217.75,0.06,5.53,78.75,101.85,4.8,227.19
1982,2,8,4.39,78.75,0.06,5.68,2.19,3.94,5.53,4.55,8.11,3.55,101.85,4.8,7.65,3.52,4.14,227.19,6.05,9.11,4.41,4.7,228.06,0.4,6.14,82.69,102.04,3.95,118.88
1982,2,9,4.7,82.69,0.4,5.94,3.15,4.55,6.14,3.88,7.85,3.98,102.04,3.95,7.05,0.81,6.24,118.88,4.87,8.76,1.02,7.74,119.75,0.66,5.3,82.81,103.19,9.83,14.0
1982,2,10,3.54,82.81,0.66,1.98,-0.61,0.69,5.3,4.12,4.3,0.17,103.19,9.83,11.16,7.83,3.33,14.0,11.08,12.48,8.97,3.52,13.81,0.65,4.69,78.44,103.73,5.33,84.19
1982,2,11,3.05,78.44,0.65,0.79,-2.49,-0.85,4.69,1.09,1.23,0.15,103.73,5.33,7.78,3.81,3.97,84.19,5.88,8.76,4.36,4.4,84.75,0.66,4.49,78.94,102.84,3.85,187.25
1982,2,12,3.42,78.94,0.66,2.19,-1.06,0.57,4.49,3.54,4.05,0.51,102.84,3.85,4.71,1.92,2.79,187.25,4.33,5.55,2.1,3.45,188.94,1.2,4.78,82.94,102.21,3.4,134.25
1982,2,13,3.91,82.94,1.2,3.28,0.65,1.97,4.78,3.58,4.69,1.12,102.21,3.4,5.48,1.98,3.51,134.25,3.87,6.59,2.15,4.45,134.81,6.32,4.54,89.44,102.05,11.63,152.44
1982,2,14,3.97,89.44,6.32,2.45,0.9,1.68,4.54,2.05,3.96,1.9,102.05,11.63,14.18,6.25,7.93,152.44,13.33,16.22,7.43,8.78,123.06,4.68,4.68,82.31,102.36,6.52,86.88
1982,2,15,3.66,82.31,4.68,2.57,-0.13,1.22,4.68,0.84,3.08,2.23,102.36,6.52,8.88,4.55,4.34,86.88,7.46,10.19,4.94,5.26,72.69,0.68,4.37,81.0,102.66,6.73,98.25
1982,2,16,3.42,81.0,0.68,1.73,-1.17,0.28,4.37,1.55,2.3,0.74,102.66,6.73,8.8,4.75,4.05,98.25,7.77,9.77,5.63,4.13,83.56,0.18,4.37,74.94,102.72,4.79,43.56
1982,2,17,3.17,74.94,0.18,1.73,-2.2,-0.24,4.37,1.73,2.5,0.76,102.72,4.79,6.42,2.45,3.96,43.56,5.52,7.7,2.73,4.96,43.75,0.01,4.34,79.19,102.7,2.17,177.25
1982,2,18,3.17,79.19,0.01,1.08,-2.07,-0.49,4.34,1.08,1.61,0.52,102.7,2.17,2.8,0.89,1.91,177.25,2.38,3.04,0.96,2.08,178.0,0.04,4.39,79.94,102.75,3.56,185.69
1982,2,19,3.48,79.94,0.04,2.3,-0.78,0.76,4.39,3.7,4.15,0.44,102.75,3.56,5.09,1.08,4.01,185.69,4.05,6.09,1.22,4.88,187.19,0.08,5.01,82.81,102.65,4.42,156.5
1982,2,20,4.21,82.81,0.08,4.51,1.86,3.19,5.01,2.55,5.88,3.33,102.65,4.42,5.33,2.39,2.94,156.5,5.15,6.03,2.74,3.29,156.94,1.26,4.86,84.88,102.23,3.73,240.0
1982,2,21,4.15,84.88,1.26,3.72,1.42,2.57,4.86,1.41,4.38,2.98,102.23,3.73,6.27,1.65,4.62,240.0,4.29,7.65,1.89,5.76,240.5,0.2,5.14,77.88,102.27,3.09,279.38
1982,2,22,3.85,77.88,0.2,4.01,0.47,2.24,5.14,2.95,5.69,2.75,102.27,3.09,5.09,0.12,4.97,279.38,3.59,6.07,0.25,5.82,280.5,1.69,4.87,84.06,102.46,4.8,72.25
1982,2,23,3.91,84.06,1.69,3.17,0.72,1.94,4.87,1.19,3.75,2.56,102.46,4.8,6.98,3.03,3.95,72.25,5.52,8.31,3.59,4.73,72.94,5.62,5.08,86.12,102.49,4.2,132.38
1982,2,24,4.33,86.12,5.62,4.35,2.24,3.3,5.08,2.89,5.69,2.8,102.49,4.2,5.05,3.03,2.02,132.38,4.97,6.07,3.56,2.51,133.12,0.09,5.26,82.88,102.37,3.56,154.69
1982,2,25,4.46,82.88,0.09,5.22,2.53,3.87,5.26,3.12,6.91,3.79,102.37,3.56,4.16,2.52,1.63,154.69,4.43,5.45,2.83,2.62,155.88,0.0,5.58,87.75,101.98,5.2,182.25
1982,2,26,4.82,87.75,0.0,5.49,3.58,4.54,5.58,4.45,7.96,3.52,101.98,5.2,6.61,2.27,4.34,182.25,6.64,8.72,2.52,6.2,183.25,0.0,6.0,88.94,101.73,7.23,179.69
1982,2,27,5.31,88.94,0.0,6.61,4.86,5.73,6.0,3.41,8.61,5.19,101.73,7.23,8.4,4.8,3.59,179.69,9.5,10.84,6.48,4.37,180.06,0.06,5.86,93.69,102.08,2.66,112.62
1982,2,28,5.19,93.69,0.06,5.61,4.67,5.14,5.86,3.2,7.44,4.24,102.08,2.66,4.08,0.19,3.9,112.62,3.5,5.37,0.21,5.16,113.19,0.09,5.87,96.56,101.19,4.95,159.25
1982,3,1,5.68,96.56,0.09,6.23,5.74,5.99,5.87,2.19,7.36,5.17,101.19,4.95,7.59,2.2,5.39,159.25,6.54,9.53,3.05,6.48,159.44,0.1,6.3,92.88,100.71,6.04,288.94
1982,3,2,5.37,92.88,0.1,5.98,4.93,5.46,6.3,2.72,7.58,4.86,100.71,6.04,9.86,1.39,8.47,288.94,7.06,11.48,1.72,9.77,289.62,0.22,6.14,84.75,101.77,10.28,345.38
1982,3,3,4.64,84.75,0.22,5.27,2.93,4.1,6.14,0.82,5.65,4.83,101.77,10.28,12.59,6.68,5.91,345.38,12.02,14.57,8.06,6.5,345.44,0.01,6.43,80.62,102.7,4.56,191.5
1982,3,4,4.46,80.62,0.01,5.73,2.65,4.19,6.43,2.83,7.13,4.3,102.7,4.56,6.29,2.35,3.95,191.5,5.39,7.64,2.71,4.93,206.12,0.02,6.26,83.25,102.91,1.8,181.88
1982,3,5,4.7,83.25,0.02,5.9,3.28,4.59,6.26,3.37,7.62,4.26,102.91,1.8,3.12,0.38,2.74,181.88,2.25,4.0,0.39,3.61,183.38,0.0,5.93,87.88,102.69,4.42,156.75
1982,3,6,5.07,87.88,0.0,6.19,4.32,5.25,5.93,3.64,8.11,4.47,102.69,4.42,5.79,2.23,3.56,156.75,5.78,8.18,2.5,5.68,157.94,0.07,6.1,88.5,102.35,4.81,154.31
1982,3,7,5.13,88.5,0.07,6.25,4.49,5.37,6.1,1.78,7.2,5.42,102.35,4.81,6.28,3.85,2.42,154.31,6.16,7.72,5.11,2.62,155.56,0.13,6.17,88.06,102.26,4.2,153.38
1982,3,8,5.19,88.06,0.13,6.51,4.67,5.59,6.17,2.51,7.95,5.44,102.26,4.2,5.28,3.41,1.88,153.38,5.95,7.6,4.45,3.16,154.25,0.03,6.33,86.31,101.64,4.38,143.38
1982,3,9,5.25,86.31,0.03,6.8,4.65,5.73,6.33,3.69,8.62,4.94,101.64,4.38,5.12,1.93,3.2,143.38,6.22,7.27,3.02,4.26,144.0,0.17,6.51,85.62,101.12,3.37,126.19
1982,3,10,5.0,85.62,0.17,6.21,3.97,5.08,6.51,3.34,7.71,4.37,101.12,3.37,8.72,1.37,7.35,126.19,4.12,9.84,1.67,8.16,110.12,1.03,6.07,79.62,101.63,9.41,206.69
1982,3,11,4.09,79.62,1.03,4.54,1.3,2.92,6.07,2.3,5.84,3.54,101.63,9.41,10.85,7.38,3.48,206.69,10.79,12.42,8.57,3.85,206.69,1.43,6.27,71.81,102.18,6.23,268.56
1982,3,12,3.85,71.81,1.43,5.04,0.28,2.66,6.27,2.78,7.01,4.22,102.18,6.23,9.97,1.48,8.48,268.56,7.34,11.71,1.67,10.04,269.38,0.03,6.68,81.06,102.07,5.59,186.31
1982,3,13,4.88,81.06,0.03,6.69,3.66,5.18,6.68,4.52,8.78,4.26,102.07,5.59,6.92,3.59,3.33,186.31,7.12,9.25,4.8,4.46,186.81,0.0,6.94,80.62,102.11,2.15,147.62
1982,3,14,4.82,80.62,0.0,6.65,3.49,5.08,6.94,3.95,8.72,4.77,102.11,2.15,3.68,0.47,3.21,147.62,2.66,4.53,0.51,4.02,149.19,0.03,6.57,83.12,102.66,4.24,44.94
1982,3,15,4.52,83.12,0.03,5.41,2.73,4.07,6.57,2.83,7.05,4.22,102.66,4.24,5.3,2.77,2.53,44.94,4.82,6.3,2.8,3.51,44.5,0.1,6.4,81.25,102.78,4.02,106.94
1982,3,16,4.46,81.25,0.1,5.42,2.48,3.95,6.4,2.63,6.59,3.96,102.78,4.02,5.18,3.12,2.07,106.94,4.5,5.6,3.51,2.09,107.62,0.01,7.05,81.5,102.0,4.03,137.69
1982,3,17,5.07,81.5,0.01,7.2,4.23,5.72,7.05,3.6,9.12,5.52,102.0,4.03,5.71,2.84,2.87,137.69,5.41,7.76,3.85,3.91,138.38,2.16,6.73,88.0,101.13,3.91,97.56
1982,3,18,5.37,88.0,2.16,6.78,4.94,5.86,6.73,2.26,7.87,5.61,101.13,3.91,10.62,0.7,9.91,97.56,4.84,12.3,0.88,11.41,98.12,3.1,5.88,82.38,101.23,16.16,336.75
1982,3,19,4.09,82.38,3.1,3.82,1.08,2.45,5.88,2.48,5.24,2.76,101.23,16.16,17.52,11.42,6.1,336.75,19.23,20.88,13.2,7.69,336.94,0.52,5.87,78.31,102.42,10.56,166.44
1982,3,20,3.72,78.31,0.52,3.54,0.12,1.83,5.87,2.84,4.44,1.59,102.42,10.56,15.91,5.26,10.66,166.44,12.23,18.95,6.08,12.88,181.25,1.58,5.84,80.88,102.63,4.54,66.12
